0,1,2
0,0.876726305,0
0,0.8590226,0
0,0.851689682,0
0,0.851356779,0
0,0.85667974,1
0,0.8515267,0
0,0.853386564,0
0,0.837063993,0
0,0.866816621,0
0,0.856256655,0
0,0.834686209,0
0,0.84270849,0
0,0.813907579,0
0,0.828099371,0
0,0.836357204,0
0,0.820639996,1
0,0.830087549,0
0,0.824963208,0
0,0.815463943,0
0,0.815868545,1
0,0.809329609,0
0,0.814371715,0
0,0.813594018,0
0,0.825235231,0
0,0.801677169,1
0,0.810944083,0
0,0.827892025,0
0,0.81418238,0
0,0.795223361,0
0,0.816092264,0
0,0.820176465,0
0,0.822851614,1
0,0.801822653,2
0,0.827814455,0
0,0.814228656,2
0,0.81075552,1
0,0.814778638,1
0,0.806684885,0
0,0.823537374,0
0,0.822797786,0
0,0.830486742,0
0,0.810661718,1
0,0.823232879,0
0,0.816275899,1
0,0.818060246,0
0,0.833141023,0
0,0.81076414,0
0,0.819997605,0
0,0.823919724,0
0,0.81314142,1
0,0.808017286,1
0,0.798761454,1
0,0.782376958,0
0,0.823730977,0
0,0.824639241,1
0,0.817143299,0
0,0.806461334,1
0,0.808639663,2
0,0.822633536,0
0,0.810927632,1
0,0.824457996,1
0,0.798207062,1
0,0.804930285,0
0,0.808862883,0
0,0.826474035,0
0,0.808245553,2
0,0.823859832,0
0,0.824811189,0
0,0.793959113,1
0,0.816729323,0
0,0.820313311,1
0,0.819329022,1
0,0.811380643,1
0,0.827327695,0
0,0.821733461,0
0,0.779413064,1
0,0.826024266,0
0,0.813470955,2
0,0.811889688,0
0,0.828367082,1
0,0.79923909,1
0,0.800855002,2
0,0.799675488,0
0,0.816770736,1
0,0.793293813,1
0,0.812224781,0
0,0.800693562,1
0,0.790828115,2
0,0.80475124,0
0,0.784918229,0
0,0.75101129,2
0,0.771694992,3
0,0.769403445,1
0,0.759411165,0
0,0.78635219,0
0,0.808975921,1
0,0.790431564,1
0,0.824210464,1
0,0.810145031,1
0,0.807547761,1
0,0.80021869,0
0,0.811339038,1
0,0.805410651,2
0,0.826197302,1
0,0.80317317,0
0,0.831541219,0
0,0.855066524,0
0,0.797315609,0
0,0.794663426,0
0,0.801837593,2
0,0.794318225,1
0,0.8172385,0
0,0.819521251,2
0,0.826840344,2
0,0.813879081,1
0,0.825071671,1
0,0.814426526,0
0,0.825409654,1
0,0.823206419,1
0,0.835345802,0
0,0.798668213,3
0,0.80298292,1
0,0.810275636,1
0,0.801683054,2
0,0.819492694,1
0,0.824582114,0
0,0.796133288,0
0,0.824083396,1
0,0.83009846,0
0,0.799200786,2
0,0.820196392,0
0,0.816509657,1
0,0.806757411,2
0,0.779334135,4
0,0.829123939,0
0,0.810455878,0
0,0.826046957,1
0,0.831070624,0
0,0.821601061,1
0,0.829218816,1
0,0.819600985,1
0,0.833204289,2
0,0.801225323,1
0,0.832507522,2
0,0.816612907,0
0,0.819915011,2
0,0.817775272,0
0,0.838886653,2
0,0.832287529,1
0,0.811720212,3
0,0.81401233,1
0,0.794468263,2
0,0.830366229,1
0,0.823103087,2
0,0.803673878,1
0,0.820386819,2
0,0.831841109,1
0,0.836940178,1
0,0.817920377,1
0,0.848008779,0
0,0.822784641,2
0,0.808331555,3
0,0.798050415,1
0,0.8299371,1
0,0.812754028,2
0,0.825014664,1
0,0.824765255,1
0,0.811876497,2
0,0.817435539,1
0,0.830440737,2
0,0.825915601,1
0,0.826298502,2
0,0.813512933,0
0,0.837327943,1
0,0.833605837,1
0,0.827114647,1
0,0.823567298,1
0,0.808511227,0
0,0.820877754,0
0,0.8094383,0
0,0.811911634,2
0,0.835348695,2
0,0.800301531,0
0,0.834089033,1
0,0.812908794,1
0,0.813864295,0
0,0.820390834,2
0,0.801942862,2
0,0.811103864,3
0,0.846123972,0
1,0.766176197,1
1,0.794598773,0
1,0.787887427,1
1,0.78791654,1
1,0.786312576,1
1,0.781072593,1
1,0.781618106,0
1,0.790191148,0
1,0.788046314,0
1,0.789635155,0
1,0.790627316,0
1,0.776626069,1
1,0.793847779,0
1,0.79031018,0
1,0.78844666,0
1,0.784224183,0
1,0.790790034,1
1,0.789853606,0
1,0.770659288,1
1,0.746765397,1
1,0.773603342,1
1,0.785048095,0
1,0.792790499,0
1,0.782945274,0
1,0.789561165,0
1,0.776585437,0
1,0.78442895,0
1,0.761963722,2
1,0.793114578,0
1,0.781983924,0
1,0.77817694,0
1,0.776806179,0
1,0.778936068,0
1,0.781994271,0
1,0.786220384,1
1,0.787989548,0
1,0.7722511,1
1,0.77320181,0
1,0.763591022,0
1,0.777155566,0
1,0.771664661,0
1,0.79275241,0
1,0.771969392,1
1,0.762306366,0
1,0.782178538,2
1,0.772839585,0
1,0.790443432,0
1,0.786720162,0
1,0.787234043,0
1,0.785147916,0
1,0.792355787,0
1,0.77822345,0
1,0.775835532,0
1,0.77608847,1
1,0.785636372,1
1,0.778906681,0
1,0.777196191,1
1,0.786718738,0
1,0.789078236,0
1,0.784348044,0
1,0.786678824,0
1,0.790865806,0
1,0.777622443,0
1,0.788202326,0
1,0.783093168,0
1,0.772367686,0
1,0.774899297,1
1,0.784723209,0
1,0.783343621,0
1,0.790028794,0
1,0.790899951,0
1,0.777737301,1
1,0.770323886,1
1,0.784282089,0
1,0.780817125,0
1,0.777393075,0
1,0.778142729,0
1,0.776427627,1
1,0.787210811,0
1,0.794441473,0
1,0.77329631,0
1,0.770605541,0
1,0.76698906,1
1,0.779687354,0
1,0.795489695,0
1,0.770674197,1
1,0.742853328,0
1,0.746854103,0
1,0.764129218,0
1,0.740419102,0
1,0.776901418,0
1,0.773766408,0
1,0.760954475,0
1,0.783322281,1
1,0.768167543,0
1,0.769559938,0
1,0.727937177,0
1,0.759203251,1
1,0.743567187,1
1,0.778640421,0
1,0.783023764,0
1,0.777321017,1
1,0.776468473,0
1,0.778175404,0
1,0.773620369,1
1,0.786802212,0
1,0.773148148,0
1,0.781344431,0
1,0.771599565,1
1,0.779068699,1
1,0.766764174,0
1,0.747725981,0
1,0.740024904,2
1,0.706422515,1
1,0.707461627,0
1,0.708031434,1
1,0.710947572,1
1,0.698851493,0
1,0.702778128,1
2,0.718781899,2
2,0.739318649,2
2,0.739646758,2
2,0.741392537,2
2,0.742350221,1
2,0.74980908,1
2,0.747702877,1
2,0.752682569,1
2,0.745524146,1
2,0.736767885,3
2,0.734394304,1
2,0.730404688,2
2,0.739541556,1
2,0.720132522,1
2,0.72782194,1
2,0.723125256,1
2,0.728902077,1
2,0.726882842,1
2,0.733259469,1
2,0.709302197,4
2,0.743138214,1
2,0.729780531,1
2,0.725310597,1
2,0.712101503,1
2,0.715307767,2
2,0.73449684,1
2,0.720761348,1
2,0.7112645,1
2,0.731216007,1
2,0.717960303,1
2,0.712132015,2
